"","province","location","year","latinName","commonName","counts","catched","adult","pulli","not_catched"
"225","Antwerpen","Bornem",2018,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"226","Antwerpen","Bornem",2018,"Branta canadensis","Canadese gans",94,NA,NA,NA,NA
"227","Antwerpen","Bornem",2018,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"228","Antwerpen","Bornem",2018,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"229","Antwerpen","Bornem",2018,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"230","Antwerpen","Dessel",2013,"Alopochen aegyptiacus","Nijlgans",21,NA,NA,NA,NA
"231","Antwerpen","Dessel",2013,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"232","Antwerpen","Dessel",2013,"Anser anser","Grauwe gans",5,NA,NA,NA,NA
"233","Antwerpen","Dessel",2013,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"234","Antwerpen","Dessel",2013,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"235","Antwerpen","Dessel",2013,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"236","Antwerpen","Dessel",2013,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"237","Antwerpen","Dessel",2013,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"238","Antwerpen","Dessel",2013,"Branta canadensis","Canadese gans",11,NA,NA,NA,NA
"239","Antwerpen","Dessel",2013,"Branta leucopsis","Brandgans",1,NA,NA,NA,NA
"240","Antwerpen","Dessel",2013,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"241","Antwerpen","Dessel",2013,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"242","Antwerpen","Dessel",2015,"Alopochen aegyptiacus","Nijlgans",0,NA,NA,NA,NA
"243","Antwerpen","Dessel",2015,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"244","Antwerpen","Dessel",2015,"Anser anser","Grauwe gans",11,NA,NA,NA,NA
"245","Antwerpen","Dessel",2015,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"246","Antwerpen","Dessel",2015,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"247","Antwerpen","Dessel",2015,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"248","Antwerpen","Dessel",2015,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"249","Antwerpen","Dessel",2015,"Anser indicus","Indische gans",0,NA,NA,NA,NA
